team_id,team_name,short_name,country,created_at,updated_at
2620,Central Delhi Kings,CDK,,2026-09-01 16:37:23.687,2026-09-01 16:37:23.943
2631,Outer Delhi Warriors,ODW,,2026-09-01 16:37:23.927,2026-09-01 16:37:23.927
2645,Purani Dilli 6,PD,,2026-09-01 16:37:23.760,2026-09-01 16:37:23.930
3208,Jamaica Kingsmen,JKM,,2026-09-01 16:37:23.147,2026-09-01 16:37:23.190
3561,Fazilka Falcons,FZF,,2026-09-01 16:37:23.653,2026-09-01 16:37:23.653
3567,Amritsar Soormas,AMS,,2026-09-01 16:37:20.997,2026-09-01 16:37:23.640
3571,Bathinda Royals,BTR,,2026-09-01 16:34:46.963,2026-09-01 16:37:23.627
3581,Jalandhar Warriors,JLW,,2026-09-01 16:37:20.980,2026-09-01 16:37:23.650
3591,Ludhiana Lions,LDL,,2026-09-01 16:34:46.980,2026-09-01 16:37:23.630
3601,Mohali Kings,MHK,,2026-09-01 16:37:23.617,2026-09-01 16:37:23.640
